objectid,filename,title,creator,date,description,subject,location,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement,link
coll001,naomi000.jpg,LIT 2000 Commonplace Book - USF - Fall 2018 - Cover Image,Naomi,2018-12-10,Journal of quotes and responses to course readings in LIT 2000.,LIT 2000;beowulf;canterbury tales;geoffrey chaucer;shirley jackson;the lottery;the summer people;frankenstein;mary shelley;william shakespeare;a midsummer night's dream;naomi kritzer;cat pictures please;,"Tampa, FL",,,Naomi - Fall 2018,naomi_000,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
coll001,naomi001.jpg,LIT 2000 Commonplace Book - USF - Fall 2018 - Binding,Naomi,2018-12-10,Journal of quotes and responses to course readings in LIT 2000.,LIT 2000;beowulf;canterbury tales;geoffrey chaucer;shirley jackson;the lottery;the summer people;frankenstein;mary shelley;william shakespeare;a midsummer night's dream;naomi kritzer;cat pictures please;,"Tampa, FL",,,Naomi - Fall 2018,naomi_001,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
coll001,naomi002.jpg,LIT 2000 Commonplace Book - USF - Fall 2018 - Pages 1-2,Naomi,2018-12-10,Journal of quotes and responses to course readings in LIT 2000.,LIT 2000;beowulf;canterbury tales;geoffrey chaucer;shirley jackson;the lottery;the summer people;frankenstein;mary shelley;william shakespeare;a midsummer night's dream;naomi kritzer;cat pictures please;,"Tampa, FL",,,Naomi - Fall 2018,naomi_002,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
coll001,naomi003.jpg,LIT 2000 Commonplace Book - USF - Fall 2018 - Pages 3-4,Naomi,2018-12-10,Journal of quotes and responses to course readings in LIT 2000.,LIT 2000;beowulf;canterbury tales;geoffrey chaucer;shirley jackson;the lottery;the summer people;frankenstein;mary shelley;william shakespeare;a midsummer night's dream;naomi kritzer;cat pictures please;,"Tampa, FL",,,Naomi - Fall 2018,naomi_003,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
coll001,naomi004.jpg,LIT 2000 Commonplace Book - USF - Fall 2018 - Pages 5-6,Naomi,2018-12-10,Journal of quotes and responses to course readings in LIT 2000.,LIT 2000;beowulf;canterbury tales;geoffrey chaucer;shirley jackson;the lottery;the summer people;frankenstein;mary shelley;william shakespeare;a midsummer night's dream;naomi kritzer;cat pictures please;,"Tampa, FL",,,Naomi - Fall 2018,naomi_004,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
coll001,naomi005.jpg,LIT 2000 Commonplace Book - USF - Fall 2018 - Pages 7-8,Naomi,2018-12-10,Journal of quotes and responses to course readings in LIT 2000.,LIT 2000;beowulf;canterbury tales;geoffrey chaucer;shirley jackson;the lottery;the summer people;frankenstein;mary shelley;william shakespeare;a midsummer night's dream;naomi kritzer;cat pictures please;,"Tampa, FL",,,Naomi - Fall 2018,naomi_005,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
coll001,naomi006.jpg,LIT 2000 Commonplace Book - USF - Fall 2018 - Pages 9-10,Naomi,2018-12-10,Journal of quotes and responses to course readings in LIT 2000.,LIT 2000;beowulf;canterbury tales;geoffrey chaucer;shirley jackson;the lottery;the summer people;frankenstein;mary shelley;william shakespeare;a midsummer night's dream;naomi kritzer;cat pictures please;,"Tampa, FL",,,Naomi - Fall 2018,naomi_006,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
coll001,naomi007.jpg,LIT 2000 Commonplace Book - USF - Fall 2018 - Pages 10-11,Naomi,2018-12-10,Journal of quotes and responses to course readings in LIT 2000.,LIT 2000;beowulf;canterbury tales;geoffrey chaucer;shirley jackson;the lottery;the summer people;frankenstein;mary shelley;william shakespeare;a midsummer night's dream;naomi kritzer;cat pictures please;,"Tampa, FL",,,Naomi - Fall 2018,naomi_007,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
coll001,naomi008.jpg,LIT 2000 Commonplace Book - USF - Fall 2018 - Pages 12-13,Naomi,2018-12-10,Journal of quotes and responses to course readings in LIT 2000.,LIT 2000;beowulf;canterbury tales;geoffrey chaucer;shirley jackson;the lottery;the summer people;frankenstein;mary shelley;william shakespeare;a midsummer night's dream;naomi kritzer;cat pictures please;,"Tampa, FL",,,Naomi - Fall 2018,naomi_008,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
coll001,naomi009.jpg,LIT 2000 Commonplace Book - USF - Fall 2018 - Pages 13-14,Naomi,2018-12-10,Journal of quotes and responses to course readings in LIT 2000.,LIT 2000;beowulf;canterbury tales;geoffrey chaucer;shirley jackson;the lottery;the summer people;frankenstein;mary shelley;william shakespeare;a midsummer night's dream;naomi kritzer;cat pictures please;,"Tampa, FL",,,Naomi - Fall 2018,naomi_009,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
